source_field,value,category,needs_review,leie_rows,note
license_type,IND- LIC HC SERV PRO,medical,,20811,LEIE GENERAL
license_type,NURSING PROFESSION,medical,,12579,LEIE GENERAL
license_type,EMPLOYEE - PRIVATE S,other,,5418,LEIE GENERAL
license_type,INDIVIDUAL (UNAFFILI,other,,4683,LEIE GENERAL
license_type,BUS OWNER/EXEC,other,,4404,LEIE GENERAL
license_type,"MEDICAL PRACTICE, MD",medical,,4384,LEIE GENERAL
license_type,SKILLED NURSING FAC,medical,,4215,LEIE GENERAL
license_type,"PHYSICIAN (MD, DO)",medical,,3269,LEIE GENERAL
license_type,HOSPITAL,medical,,2394,LEIE GENERAL
license_type,DME COMPANY,medical,,2299,LEIE GENERAL
license_type,PHARMACY,medical,,2244,LEIE GENERAL
license_type,PRIVATE CIT/ENTITY,other,,1945,LEIE GENERAL
license_type,CHIROPRACTIC PRACT,medical,,1766,LEIE GENERAL
license_type,HOME HEALTH AGENCY,medical,,1342,LEIE GENERAL
license_type,CLINIC,medical,,1284,LEIE GENERAL
license_type,DENTAL PRACTICE,medical,,1212,LEIE GENERAL
license_type,NURSING FIRM,medical,,988,LEIE GENERAL
license_type,TRANSPORTATION CO,other,yes,793,LEIE GENERAL
license_type,INTER CARE FACILITY,medical,yes,792,LEIE GENERAL
license_type,OTHER BUSINESS,other,,637,LEIE GENERAL
license_type,THERAPIST,medical,,619,LEIE GENERAL
license_type,MENTAL HEALTH FAC,medical,,560,LEIE GENERAL
license_type,COUNSELING CENTER,medical,yes,559,LEIE GENERAL
license_type,PSYCHOLOGIC PRACTICE,medical,,511,LEIE GENERAL
license_type,PODIATRY PRACTICE,medical,,442,LEIE GENERAL
license_type,ADULT HOME,medical,yes,441,LEIE GENERAL
license_type,AMBULANCE COMPANY,medical,yes,394,LEIE GENERAL
license_type,OSTEOPATHIC PRAC,medical,,374,LEIE GENERAL
license_type,LABORATORY,medical,,275,LEIE GENERAL
license_type,STATE/LOCAL/TRIBAL A,other,,196,LEIE GENERAL
license_type,PHYSICIAN ASSISTANT,medical,,196,LEIE GENERAL
license_type,REHAB FACILITY - GEN,medical,,195,LEIE GENERAL
license_type,MEDICAL GROUP,medical,,173,LEIE GENERAL
license_type,EMPLOYEE - ST/LOC/TR,other,,147,LEIE GENERAL
license_type,BILLING SERVICE CO,other,,125,LEIE GENERAL
